"Alamat","Nama Tempat","Rating","Review","Items","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","W4Efsd 6","UsdlK","lcr4fd href","Cw1rxd","R8c4Qb","Cw1rxd 2","R8c4Qb 2","Jn12ke src","ah5Ghc"
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Yayasan+Praktek+Psikolog+Indonesia+Cabang+Riau/data=!4m7!3m6!1s0x31d5a94aec3daf45:0xfe8f8a7525f9115f!8m2!3d0.4986973!4d101.427638!16s%2Fg%2F11s3bgr6x8!19sChIJRa897Eqp1TERXxH5JXWKj_4?authuser=0&hl=id&rclk=1","Yayasan Praktek Psikolog Indonesia Cabang Riau","5,0","(24)","Psikolog","·","Meetup Office Pekanbaru, Jl. Todak No.18","Tutup","· Buka Sen pukul 09.00","·","0812-1345-8601","http://praktekpsikolog.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih mbak salby untuk konseling hari ini.. sangat membantu"""
"https://www.google.com/maps/place/HUMANIKA+Psychology+Center/data=!4m7!3m6!1s0x31d5aed52b139525:0x5b28eb35376300e5!8m2!3d0.4805178!4d101.434369!16s%2Fg%2F11fxb2c486!19sChIJJZUTK9Wu1TER5QBjNzXrKFs?authuser=0&hl=id&rclk=1","HUMANIKA Psychology Center","4,9","(150)","Psikolog","·","Jl. Arifin Ahmad No.4","Tutup","· Buka Sen pukul 08.00","·","0822-5777-2221","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Terimakasih humanika membantu memfasilitasi dengan"
"https://www.google.com/maps/place/Praktek+Psikolog+Indonesia+Balikpapan/data=!4m7!3m6!1s0x2df1475efe21777b:0xa0f290c1a3242949!8m2!3d-1.276864!4d116.841226!16s%2Fg%2F11tcx89krz!19sChIJe3ch_l5H8S0RSSkko8GQ8qA?authuser=0&hl=id&rclk=1","Praktek Psikolog Indonesia Balikpapan","5,0","(6)","Psikolog","·","Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07","Buka","· Tutup pukul 20.00","·","0812-1345-8601","https://praktekpsikolog.com/","","Situs Web","","Rute","",""
"https://www.google.com/maps/place/Praktek+Psikolog+Positive+Mind+Psychology+Consulting/data=!4m7!3m6!1s0x31d5af1a563b08d9:0x59b4b11a135d96ac!8m2!3d0.4575548!4d101.4592478!16s%2Fg%2F11stljpyww!19sChIJ2Qg7Vhqv1TERrJZdExqxtFk?authuser=0&hl=id&rclk=1","Praktek Psikolog Positive Mind Psychology Consulting","4,9","(12)","Psikolog","·","Perum Utama Regency, Blk. A Jl. Tengku Bey II No.4 Blk A 4","Segera buka","· 10.00","·","0823-7197-3192","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""... banget buat yang cari tempat untuk konsultasi"
"https://www.google.com/maps/place/Biro+Psikologi+Mind+And+Personality+Riau/data=!4m7!3m6!1s0x31d5a90f964323d1:0xe57e1145ec361377!8m2!3d0.4840376!4d101.4069648!16s%2Fg%2F11txngq50h!19sChIJ0SNDlg-p1TERdxM27EURfuU?authuser=0&hl=id&rclk=1","Biro Psikologi Mind And Personality Riau","5,0","(122)","Psikolog","·","Jl. Srikandi No.90 A","Tutup","· Buka Sen pukul 09.00","·","0823-8598-2399","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Saya merasa lebih baik setelah konsul ke biro MAP,"
"https://www.google.com/maps/place/PRAKTEK+PSIKOLOG+AFIFAH+HANA+WAHYUNI,+M.PSI.+PSIKOLOG/data=!4m7!3m6!1s0x31d5a96b5213f873:0x221b14ca120e3283!8m2!3d0.4840714!4d101.4070027!16s%2Fg%2F11txkp5f23!19sChIJc_gTUmup1TERgzIOEsoUGyI?authuser=0&hl=id&rclk=1","PRAKTEK PSIKOLOG AFIFAH HANA WAHYUNI, M.PSI. PSIKOLOG","5,0","(76)","Psikolog","·","Jl. Srikandi A No.90","Tutup","· Buka Sen pukul 09.00","·","0823-8105-9850","","","Rute","","","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanannya ramah dan baik, tempatnya nyaman, adem pulak."""
"https://www.google.com/maps/place/Yayasan+Psikolog+Cahaya+Bunda+Balikpapan/data=!4m7!3m6!1s0x2df146e46d1cd7a1:0xb1854140a712d81f!8m2!3d-1.277655!4d116.8349238!16s%2Fg%2F1hm69x7q0!19sChIJodccbeRG8S0RH9gSp0BBhbE?authuser=0&hl=id&rclk=1","Yayasan Psikolog Cahaya Bunda Balikpapan","4,9","(62)","Klinik Kesehatan Mental","·","Jl. Jenderal Sudirman, Ruko Bandar No.Blok B14","Tutup","· Buka Sen pukul 08.00","·","0812-4107-2185","http://cahayabundabalikpapan.blogspot.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Alhamdulillah setelah terapi disini, anak saya mengalami kemajuan."""
"https://www.google.com/maps/place/Thinkplus+Psikologi+-+Kalimantan/data=!4m7!3m6!1s0x2df14794f1433129:0xa77ee0c556222a3f!8m2!3d-1.2233943!4d116.8830289!16s%2Fg%2F11g2_2k4sf!19sChIJKTFD8ZRH8S0RPyoiVsXgfqc?authuser=0&hl=id&rclk=1","Thinkplus Psikologi - Kalimantan","4,9","(284)","Psikolog","·","Jl. Sepinggan Pratama No.6 Blok D1","Buka","· Tutup pukul 17.00","·","0853-4625-5395","http://thinkpluspsikologi.com/","","Situs Web","","Rute","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Pelayanan bagus, staf ramah, mudah dalam menjelaskan, tempat nyaman 👍"""
